app_id,title,release_date,genres,categories,developer,publisher,original_price,discount_percentage,discounted_price,dlc_available,age_rating,content_descriptor,about_description,win_support,mac_support,linux_support,awards,overall_review,overall_review_%,overall_review_count,recent_review,recent_review_%,recent_review_count
730,Counter-Strike 2,"21 Aug, 2012","Action, Free to Play","Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Valve Anti-Cheat enabled, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",Valve,Valve,,,Free,1,0,,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.",True,False,True,1,Very Positive,87.0,8062218.0,Mostly Positive,79.0,57466.0
570,Dota 2,"9 Jul, 2013","Action, Strategy, Free to Play","Steam Trading Cards, Steam Workshop, SteamVR Collectibles, In-App Purchases, Valve Anti-Cheat enabled",Valve,Valve,,,Free,2,0,,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.",True,True,True,0,Very Positive,81.0,2243112.0,Mostly Positive,72.0,23395.0
2215430,Ghost of Tsushima DIRECTOR'S CUT,"16 May, 2024","Action, Adventure","Single-player, Online Co-op, Steam Achievements, Family Sharing",Sucker Punch Productions,PlayStation PC LLC,,,"₹3,999.00",0,1,Violence,"A storm is coming. Venture into the complete Ghost of Tsushima DIRECTOR’S CUT on PC; forge your own path through this open-world action adventure and uncover its hidden wonders. Brought to you by Sucker Punch Productions, Nixxes Software and PlayStation Studios.",True,False,False,0,Very Positive,89.0,12294.0,,,
1245620,ELDEN RING,"24 Feb, 2022","Action, RPG","Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",FromSoftware Inc.,FromSoftware Inc.,,,"₹3,599.00",2,1,Violence,"THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.",True,False,False,6,Very Positive,93.0,605191.0,Very Positive,94.0,7837.0
1085660,Destiny 2,"1 Oct, 2019","Action, Adventure, Free to Play","Single-player, Online PvP, Online Co-op, Steam Achievements, In-App Purchases",Bungie,Bungie ,,,Free,14,1,"Violence, In game purchases","Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.",True,False,False,0,Very Positive,80.0,594713.0,Mostly Positive,73.0,4845.0
1091500,Cyberpunk 2077,"9 Dec, 2020",RPG,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",CD PROJEKT RED,CD PROJEKT RED,"₹2,999.00",-50%,"₹1,499.00",3,1,"Violence, Sex, Bad Language","Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.",True,False,False,4,Very Positive,83.0,654304.0,Very Positive,94.0,7771.0
1086940,Baldur's Gate 3,"3 Aug, 2023","Adventure, RPG, Strategy","Single-player, Online Co-op, LAN Co-op, Steam Achievements, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",Larian Studios,Larian Studios,,,"₹2,999.00",1,1,"Violence, Bad Language, Sex","Baldur’s Gate 3 is a story-rich, party-based RPG set in the universe of Dungeons & Dragons, where your choices shape a tale of fellowship and betrayal, survival and sacrifice, and the lure of absolute power.",True,True,False,2,Overwhelmingly Positive,96.0,543077.0,Overwhelmingly Positive,96.0,9642.0
578080,PUBG: BATTLEGROUNDS,"21 Dec, 2017","Action, Adventure, Massively Multiplayer, Free to Play","Online PvP, Stats, Remote Play on Phone, Remote Play on Tablet","KRAFTON, Inc.","KRAFTON, Inc.",,,Free,0,0,,"Play PUBG: BATTLEGROUNDS for free. Land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse Battlegrounds. Squad up and join the Battlegrounds for the original Battle Royale experience that only PUBG: BATTLEGROUNDS can offer.",True,False,False,1,Mixed,58.0,2361734.0,Mixed,68.0,19214.0
1172470,Apex Legends™,"4 Nov, 2020","Action, Adventure, Free to Play","Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases",Respawn,Electronic Arts,,,Free,0,1,"Violence, In-Game Purchases","Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.",True,False,False,2,Mostly Positive,77.0,828477.0,Mixed,60.0,11524.0
1142710,Total War: WARHAMMER III,"16 Feb, 2022","Action, Strategy","Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",CREATIVE ASSEMBLY,SEGA,"₹4,499.00",-50%,"₹2,249.00",23,1,Violence,"The cataclysmic conclusion to the Total War: WARHAMMER trilogy is here. Rally your forces and step into the Realm of Chaos, a dimension of mind-bending horror where the very fate of the world will be decided. Will you conquer your Daemons… or command them?",True,True,True,0,Mixed,65.0,70065.0,Very Positive,86.0,1593.0
